"idx","description"
395,"Karottensalat"
396,"Naturschnitzel "
397,"Sardellenbrot"
398,"Paprikaschnitzel"
399,"Emmentaler"
400,"Bismarkhering"
401,"Sardellenschnitzel"
402,"Camenbert"
403,"Butterkäse"
404,"Tandoori Chicken full"
405,"Gegrilltes Huhn"
406,"Tandoori Seekh Kahab"
407,"Minced Mutton „Oignons"""
408,"Chicken Tikka Kahab"
409,"Ind. Schaschlik"
410,"Nan"
411,"Ind. Spezial-Brot"
412,"Chicken Curry"
413,"Huhn m. Reis in Currysauce"
414,"Rogan Tosh"
415,"Hammel-Curry"
416,"Vegetable Curry"
417,"Versch. Gemüse"
418,"Cauliflower Potatoes"
419,"Blumenkohl und Kartoffeln"
420,"Kuifi"
421,"Indische Eiscreme mit Pistazin, Früchte"
422,"Talabi"
423,"4 Stück Gebäck"
424,"2 St. Gulabtaman"
425,"Süße Mehlspeise"
426,"2 St. Rasgulla"
427,"Cheese Pakora"
428,"Käsesp. mit Mehl, Eiern, geb."
429,"Channa - Poori"
430,"Grams (erbsenartige weiße Früchte) Sago"
431,"mit indischem Pfannkuchen"
432,"Joghurt"
433,"Sugared fruits"
434,"Kandierte Früchte"
435,"Chicken Pallau"
436,"Huhn mit Curryreis zus. gekocht"
437,"1 Glas Mesenicher Rosenberg"
438,"Weinbrand"
439,"Vegetable Pallau"
440,"Gemüse, Reis, Currysauce"
441,"Coca Cola"
442,"Manhatten"
443,"Alexander"
444,"B and B"
445,"Ohio"
446,"Bacardi"
447,"Pink Lady"
448,"White Lady"
449,"Bronx"
450,"Daiquiri"
451,"Stinger"
452,"Side Car"
453,"Prince of Wales"
454,"Martini"
455,"Yale"
456,"Brandy"
457,"Whisky Sour"
458,"Whisky Fizz"
459,"Chocolade Mocca"
460,"Champ Flip"
461,"Sherry Port"
462,"Champagner Cobbler"
463,"Prairie Oyster"
464,"Singapore Sling"
465,"Tom Collins"
466,"Old Fashioned"
467,"Nikolaschka "
468,"Cuba Libre"
469,"John Collins"
470,"P1 Special"
471,"Calvados"
472,"Jamaica oder Puorto Rica Rum"
473,"Fr. Cognac"
474,"Engl. oder amerik. Whisky"
475,"Napoleon"
476,"Franz. de Merithe frappée"
477,"Benedictine"
478,"Drambuie"
479,"Cointreau"
480,"Izarra"
481,"Chartreuse gelb oder grün"
482,"Grand Marnier"
483,"Pernod Absinth"
484,"Fernet Branca"
485,"Barack"
