"idx","Name","Straße","Hausnummer","PLZ","Stadtteil","Stadt","Bundesland","Land","URL","Eröffnung","Schließung","Breitengrad","Längengrad","Qualität","Präzision"
72,"Le Medoc","Häberlstr.","1","80337","Bezirksteil Am Alten Südlichen Friedhof","München","Bayern","Germany",,,"vermtl.","48.1288372","11.5585675","restaurant","0.321"
73,"Löwenbräu, Festhalle","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1910",,"48.1336862","11.5536309","tertiary","0.32"
74,"Löwenbräu-Keller","Nymphenburger Str.","2","80335","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","https://www.loewenbraeukeller.com/","vor 1860",,"48.14811395","11.5583202883","restaurant","0.6970348105"
75,"Löwenbräukeller","Nymphenburger Str.","2","80335","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany","https://www.loewenbraeukeller.com/","vor 1860",,"48.14811395","11.5583202883","restaurant","0.6970348105"
76,"Märzen Keller","Bayerstr.","27","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"vor 1946","vermtl.","48.1391582","11.5604923","restaurant","0.321"
77,"Mathäser","Bayerstr.","5","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"1884",,"48.1390408","11.5642244","restaurant","0.321"
78,"Mathäser Festsaal","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,,,"48.1336862","11.5536309","tertiary","0.32"
79,"Mathäser Weißbierhalle","Bayerstr.","3","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1391083","11.5640498","house","0.321"
80,"Mathäser-Bierstadt","Bayerstr.","3","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"1957","1996","48.1391083","11.5640498","house","0.321"
81,"Mathäser-Bräu","Bayerstr.","3","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1391083","11.5640498","house","0.321"
82,"Mathäserbräu-Bierhallen","Bayerstr.","3","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1391083","11.5640498","house","0.321"
83,"Mönchtaler Hirtenstube","Peterspl.","8","80331",,"München","Bayern","Germany",,"vor 1971",,"48.152126","11.544467",,"0.15"
84,"Mövenpick, im Künstlerhaus","Lenbachplatz","8","80333","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"nach 1967","ca. 1997","48.1401245","11.5678633","arts_centre","0.331"
85,"Münchner Imbisshalle","Bayerstr.","15","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,,"48.1392141","11.5621626","house","0.321"
86,"Neuner, Weinrestaurant","Herzogspitalstr.","8/19?","80331","Bezirksteil Hackenviertel","München","Bayern","Germany","https://weinhaus-neuner.de/","1892",,"48.1378599","11.5661374","residential","0.41"
87,"Nürnberger Hof, Gaststätte","Bayerstr./Paul-Heyse-Str.","53a",,,"München","Bayern","Germany",,"vor 1920",,"48.152126","11.544467",,"0.15"
88,"Ochsen-Braterei, Münchner","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1881",,"48.1336862","11.5536309","tertiary","0.32"
89,"Opatija, Restaurant","versch. Standorte, siehe Artikel",,,,"München","Bayern","Germany","https://www.tz.de/muenchen/stadt/muenchen-balkan-restaurant-opatija-wird-umgebaut-vorerst-geschlossen-11779987.html",,,"48.130146","11.607758",,"0.2245"
90,"P1","Prinzregentenstr.","1","80538","Bezirksteil Englischer Garten Süd","München","Bayern","Germany","https://www.p1-club.de/","1949",,"48.1438292","11.5858343","house","0.321"
91,"Palmenhaus, Schlosscafé im","Schloss Nymphenburg",,"80638","Bezirksteil Nymphenburg","München","Bayern","Germany","https://palmenhaus.de/schlosscafe/","1980",,"48.15908585","11.51166615","platform","0.41"
92,"Parc, Hotel","Maximiliansplatz","21/22","80333","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1910","ja","48.1416434","11.5713255","secondary","0.32"
93,"Paulaner-Thomasbräu-Festhalle","Weißenburgerstr.?","41","81667","Bezirksteil Haidhausen Süd","München","Bayern","Germany",,,,"48.1284009","11.6017498","surveillance","0.221"
94,"Peterhof, Hotel und Café-Restaurant","Marienplatz","22","80331","Bezirksteil Angerviertel","München","Bayern","Germany","http://wildmosers.de/","1857",,"48.1368739","11.5754231","hotel","0.331"
